rate: 0.010000, gamma: 0.000100, dim: 1
rate: 0.010000, gamma: 0.000100, dim: 1, precision@10: 0.000331
rate: 0.010000, gamma: 0.000100, dim: 2, precision@10: 0.012278
rate: 0.010000, gamma: 0.000100, dim: 3, precision@10: 0.012398
rate: 0.010000, gamma: 0.000100, dim: 4, precision@10: 0.012760
rate: 0.010000, gamma: 0.000100, dim: 5, precision@10: 0.012579
rate: 0.010000, gamma: 0.000100, dim: 6, precision@10: 0.012549
rate: 0.010000, gamma: 0.000100, dim: 7, precision@10: 0.012007
rate: 0.010000, gamma: 0.000100, dim: 8, precision@10: 0.011526
rate: 0.010000, gamma: 0.000100, dim: 9, precision@10: 0.012609
rate: 0.010000, gamma: 0.000100, dim: 10, precision@10: 0.013121
rate: 0.010000, gamma: 0.000100, dim: 11, precision@10: 0.013361
rate: 0.010000, gamma: 0.000100, dim: 12, precision@10: 0.013512
rate: 0.010000, gamma: 0.000100, dim: 13, precision@10: 0.013482
rate: 0.010000, gamma: 0.000100, dim: 14, precision@10: 0.013542
rate: 0.010000, gamma: 0.000100, dim: 15, precision@10: 0.013512
rate: 0.010000, gamma: 0.000100, dim: 16, precision@10: 0.013512
rate: 0.010000, gamma: 0.000100, dim: 17, precision@10: 0.013512
rate: 0.010000, gamma: 0.000100, dim: 18, precision@10: 0.013482
rate: 0.010000, gamma: 0.000100, dim: 19, precision@10: 0.013482
rate: 0.010000, gamma: 0.000100, dim: 20, precision@10: 0.013482
rate: 0.010000, gamma: 0.000100, dim: 21, precision@10: 0.013512
rate: 0.010000, gamma: 0.000100, dim: 22, precision@10: 0.013482
rate: 0.010000, gamma: 0.000100, dim: 23, precision@10: 0.013482
rate: 0.010000, gamma: 0.000100, dim: 24, precision@10: 0.013482
rate: 0.010000, gamma: 0.000100, dim: 25, precision@10: 0.013482
rate: 0.010000, gamma: 0.000100, dim: 26, precision@10: 0.013482
rate: 0.010000, gamma: 0.000100, dim: 27, precision@10: 0.013482
rate: 0.010000, gamma: 0.000100, dim: 28, precision@10: 0.013482
rate: 0.010000, gamma: 0.000100, dim: 29, precision@10: 0.013482
rate: 0.010000, gamma: 0.000100, dim: 30, precision@10: 0.013482
rate: 0.010000, gamma: 0.000100, dim: 31, precision@10: 0.013482
rate: 0.010000, gamma: 0.000100, dim: 32, precision@10: 0.013482
rate: 0.010000, gamma: 0.000010, dim: 1, precision@10: 0.000331
rate: 0.010000, gamma: 0.000010, dim: 2, precision@10: 0.012398
rate: 0.010000, gamma: 0.000010, dim: 3, precision@10: 0.012579
rate: 0.010000, gamma: 0.000010, dim: 4, precision@10: 0.012549
rate: 0.010000, gamma: 0.000010, dim: 5, precision@10: 0.012579
rate: 0.010000, gamma: 0.000010, dim: 6, precision@10: 0.012609
rate: 0.010000, gamma: 0.000010, dim: 7, precision@10: 0.012639
rate: 0.010000, gamma: 0.000010, dim: 8, precision@10: 0.012639
rate: 0.010000, gamma: 0.000010, dim: 9, precision@10: 0.012669
rate: 0.010000, gamma: 0.000010, dim: 10, precision@10: 0.012910
rate: 0.010000, gamma: 0.000010, dim: 11, precision@10: 0.013181
rate: 0.010000, gamma: 0.000010, dim: 12, precision@10: 0.013422
rate: 0.010000, gamma: 0.000010, dim: 13, precision@10: 0.013482
rate: 0.010000, gamma: 0.000010, dim: 14, precision@10: 0.013482
rate: 0.010000, gamma: 0.000010, dim: 15, precision@10: 0.013482
rate: 0.010000, gamma: 0.000010, dim: 16, precision@10: 0.013452
rate: 0.010000, gamma: 0.000010, dim: 17, precision@10: 0.013512
rate: 0.010000, gamma: 0.000010, dim: 18, precision@10: 0.013512
rate: 0.010000, gamma: 0.000010, dim: 19, precision@10: 0.013512
rate: 0.010000, gamma: 0.000010, dim: 20, precision@10: 0.013512
rate: 0.010000, gamma: 0.000010, dim: 21, precision@10: 0.013512
rate: 0.010000, gamma: 0.000010, dim: 22, precision@10: 0.013512
rate: 0.010000, gamma: 0.000010, dim: 23, precision@10: 0.013512
rate: 0.010000, gamma: 0.000010, dim: 24, precision@10: 0.013512
rate: 0.010000, gamma: 0.000010, dim: 25, precision@10: 0.013512
rate: 0.010000, gamma: 0.000010, dim: 26, precision@10: 0.013512
rate: 0.010000, gamma: 0.000010, dim: 27, precision@10: 0.013512
rate: 0.010000, gamma: 0.000010, dim: 28, precision@10: 0.013512
rate: 0.010000, gamma: 0.000010, dim: 29, precision@10: 0.013512
